node,Yeo
Amps_Glasser_251,7
Amps_Glasser_252,7
Amps_Glasser_253,6
Amps_Glasser_254,6
Amps_Glasser_255,7
Amps_Glasser_256,7
Amps_Glasser_257,7
Amps_Glasser_258,4
Amps_Glasser_259,6
Amps_Glasser_260,3
Amps_Glasser_261,6
Amps_Glasser_262,6
Amps_Glasser_263,6
Amps_Glasser_264,6
Amps_Glasser_265,6
Amps_Glasser_266,6
Amps_Glasser_267,7
Amps_Glasser_268,5
Amps_Glasser_269,7
Amps_Glasser_270,5
Amps_Glasser_271,6
Amps_Glasser_272,5
Amps_Glasser_273,5
Amps_Glasser_274,7
Amps_Glasser_275,3
Amps_Glasser_276,3
Amps_Glasser_277,6
Amps_Glasser_278,7
Amps_Glasser_279,4
Amps_Glasser_280,2
Amps_Glasser_281,2
Amps_Glasser_282,2
Amps_Glasser_283,2
Amps_Glasser_284,2
Amps_Glasser_285,4
Amps_Glasser_286,4
Amps_Glasser_287,2
Amps_Glasser_288,4
Amps_Glasser_289,4
Amps_Glasser_290,5
Amps_Glasser_291,6
Amps_Glasser_292,7
Amps_Glasser_293,4
Amps_Glasser_294,4
Amps_Glasser_295,4
Amps_Glasser_296,3
Amps_Glasser_297,3
Amps_Glasser_298,5
Amps_Glasser_299,1
Amps_Glasser_300,5
Amps_Glasser_301,1
Amps_Glasser_302,5
Amps_Glasser_303,7
Amps_Glasser_304,2
Amps_Glasser_305,2
Amps_Glasser_306,7
Amps_Glasser_307,1
Amps_Glasser_308,7
Amps_Glasser_309,7
Amps_Glasser_310,7
Amps_Glasser_311,5
Amps_Glasser_312,7
Amps_Glasser_313,7
Amps_Glasser_314,7
Amps_Glasser_315,5
Amps_Glasser_316,3
Amps_Glasser_317,3
Amps_Glasser_318,3
Amps_Glasser_319,7
Amps_Glasser_320,3
Amps_Glasser_321,3
Amps_Glasser_322,1
Amps_Glasser_323,3
Amps_Glasser_324,6
Amps_Glasser_325,6
Amps_Glasser_326,3
Amps_Glasser_327,4
Amps_Glasser_328,4
Amps_Glasser_329,7
Amps_Glasser_330,7
Amps_Glasser_331,7
Amps_Glasser_332,1
Amps_Glasser_333,1
Amps_Glasser_334,1
Amps_Glasser_335,7
Amps_Glasser_336,1
Amps_Glasser_337,3
Amps_Glasser_338,1
Amps_Glasser_339,1
Amps_Glasser_340,1
Amps_Glasser_341,7
Amps_Glasser_342,7
Amps_Glasser_343,1
Amps_Glasser_344,5
Amps_Glasser_345,5
Amps_Glasser_346,5
Amps_Glasser_347,4
Amps_Glasser_348,2
Amps_Glasser_349,4
Amps_Glasser_350,7
Amps_Glasser_351,6
Amps_Glasser_352,5
Amps_Glasser_353,2
Amps_Glasser_354,2
Amps_Glasser_355,2
Amps_Glasser_356,7
Amps_Glasser_357,7
Amps_Glasser_358,4
Amps_Glasser_359,6
Amps_Glasser_360,7
